ID,Original_ID,Input_rho_s,Input_rho_l,Input_cp_s,Input_cl_l,Input_k_s,Input_k_l,Input_Lf,Input_wt,Input_Tm,Input_dT,Output_Tout,Output_LiquidFrac,Time_Cost_s,TimeSeries_File,Original_TimeSeries_File,Status,Output_TotalEnergy_MJ
64,98,851.8785803375849,767.7024369649235,2320.3842918541577,2514.461556342226,0.2499446939066925,0.1439173005314317,231.28598977397505,0.1549538658426517,24.539935362532454,6.575378257885546,33.9682200192957,0.5722112056140608,49.16862773895264,ts_0064.npz,ts_0098_20260211_161023.npz,Success,384.1187456476527
65,99,931.8347040612194,805.9143687577446,2078.939279221793,2230.3252159973035,0.2454101222067587,0.1733475417147121,186.70746429473616,0.1950226972281228,21.38142566186169,4.129974143541016,34.01196995116561,0.905133018679266,49.09819984436035,ts_0065.npz,ts_0099_20260211_161112.npz,Success,379.5659990646685
66,100,903.1380573951257,833.7771608788254,2163.6456583506247,2334.0935815378098,0.2045101550681348,0.1604269350976234,234.82080880885155,0.1649550331524713,24.156304694201804,6.371647456188593,33.94748938951807,0.587663889132624,49.0674216747284,ts_0066.npz,ts_0100_20260211_161201.npz,Success,392.45277280924194
67,101,893.9306657666376,795.4326083749384,2240.0110966656075,2319.593197919358,0.2295130007394331,0.1603392273712451,180.04377164723795,0.2394349465828026,20.57001577630058,5.055029487642099,34.07524524186698,0.9686472466920556,49.054757595062256,ts_0067.npz,ts_0101_20260211_161250.npz,Success,370.6532068534028
68,103,929.5453846820304,767.6662686060614,1914.1761448058785,2576.402382865447,0.2078162292798809,0.1521860651431621,192.6934131028121,0.1741906738531079,21.2011122109399,4.202124765042173,34.03857032623523,0.9483255109842272,49.8919198513031,ts_0068.npz,ts_0103_20260211_161546.npz,Success,376.84758944339194
69,104,888.9467324407891,814.9995083575647,1999.038375096821,2273.983809353278,0.2124710166245715,0.1748628747273202,183.18748872743924,0.1911345935126857,24.470967436173154,5.2095156529284345,34.002307418469684,0.5832421164331646,48.77461791038513,ts_0069.npz,ts_0104_20260211_161636.npz,Success,371.5467597257413
70,106,918.424723321295,759.0074707297674,2211.270508453033,2325.2060958603206,0.238934378547249,0.1491695400093914,214.0845976495908,0.1529947681176237,20.143555437584887,6.5822184298215225,34.199082885311384,0.9958000411488204,48.80776834487915,ts_0070.npz,ts_0106_20260211_161931.npz,Success,339.46658262392253
71,107,943.3283137671816,763.6544382648611,1964.81082578574,2525.258415958475,0.2009673253066479,0.1636118137369043,204.41987587674907,0.1780359542526893,21.872921249030345,6.498760767418909,33.9787794149056,0.84917924938826,47.740936517715454,ts_0071.npz,ts_0107_20260211_162019.npz,Success,397.6300249570725
72,108,947.1835362243304,793.071662577734,2118.25282135786,2542.5925623612466,0.227149488819813,0.1940787088068061,164.7676793430564,0.2215267890187295,20.882315629131018,6.4269943472533,34.08978604406707,0.968072046553549,47.8808319568634,ts_0072.npz,ts_0108_20260211_162107.npz,Success,365.5779651521174
73,109,896.6442132266469,754.6886773313128,2229.3082222466096,2329.230741455148,0.2372197964996631,0.1720114738312635,244.16710798604004,0.1444905703782842,22.39662179897803,3.871762652997993,33.93375680640503,0.782220863139247,48.89912343025208,ts_0073.npz,ts_0109_20260211_162155.npz,Success,410.8489363839233
74,110,859.2803384050309,810.000556779903,1978.1431253135968,2528.8706544548886,0.2470751404882456,0.1648209420115959,161.29166058547293,0.1507100093761836,20.01829210068707,5.986617643677795,34.241391169797566,0.9990029967280256,47.76541447639465,ts_0074.npz,ts_0110_20260211_162244.npz,Success,314.61044968711485
